title,company_name,location,via,date_time,salary_standardized,description_tokens
Data Analyst,National Rural Water Association (NRWA),"Duncan, OK",via LinkedIn,2023-07-19 03:00:18.378685,,"communication, power bi, sql, presentation skills"
Data Analyst,MDM Commercial,Anywhere,via LinkedIn,2023-07-19 03:00:18.378685,,"tableau, excel, sql, integrity, sap, power bi"
Data Analyst,Airshare,"Lenexa, KS",via Indeed,2023-07-19 03:00:18.378685,,"communication, tableau, critical thinking, go, excel, sql, integrity"
EOI - Data Analyst - ContractHybrid,ConocoPhillips,"Bartlesville, OK",via ZipRecruiter,2023-07-19 03:00:18.378685,,"teamwork, integrity"
Business/Data Analyst,Swoon,Anywhere,via LinkedIn,2023-07-19 03:00:18.378685,87880.0,"excel, word, integrity, collaboration, powerpoint"
Data Analyst/Data Science Mentor or Tutor,Upwork,Anywhere,via Upwork,2023-07-19 03:00:18.378685,36400.0,machine learning
Data Analyst,GXO Logistics,United States,via Fairygodboss,2023-07-19 03:00:18.378685,,"power bi, machine learning, tableau, r, excel, python"
Data Analyst,ATC,United States,via LinkedIn,2023-07-19 03:00:18.378685,,initiative
Data Analyst - Data17830,Acrisure,"Wichita, KS",via Indeed,2023-07-19 03:00:18.378685,,"azure, linux, postgres, sql, shell, power bi"
Marketing Data Analyst II,SelectQuote,"Overland Park, KS",via The Muse,2023-07-19 03:00:18.378685,,"communication, power bi, r, teamwork, excel, sql, presentation skills, python"
Data/Business Analytics Apprenticeship Opportunity,Multiverse,"Tulsa, OK",via InTulsa,2023-07-19 03:00:20.354255,,spreadsheet
Data Analyst,Seneca Resources,Anywhere,via LinkedIn,2023-07-19 03:00:20.354255,,"aws, communication, mysql, snowflake, sql, critical thinking, adaptability"
Business Intelligence Data Analyst - Work From Home,Vericle,United States,via Jora,2023-07-19 03:00:20.354255,,"communication, looker, power bi, tableau, sql, integrity"
Public Health Data Analyst - Hybrid,Rumph & Associates,United States,via Indeed,2023-07-19 03:00:20.354255,,"communication, html, power bi, word, power bi, sas, r, excel, sql, outlook, presentation skills, spss"
Sr. Market Data Reporting Analyst,NAIC,Anywhere,via ZipRecruiter,2023-07-19 03:00:20.354255,,"word, detail oriented, linux, excel, sql, integrity, presentation skills, powerpoint"
